sample_id,variety,region,quality_score,quality_category,sugar_content_brix,acidity_ph,cluster_weight_g,berry_size_mm,harvest_date,sun_exposure_hours,soil_moisture_percent,rainfall_mm
1,Riesling,Barossa Valley,2.11,Medium,13.7,3.17,251.81,18.58,2023-09-04,8.4,55.9,223.3
2,Pinot Noir,Loire Valley,2.83,High,20.84,3.15,289.0,22.08,2023-09-16,8.8,36.9,312.1
3,Sauvignon Blanc,Napa Valley,3.52,Premium,27.46,4.07,125.14,21.4,2023-08-25,11.1,64.9,698.7
4,Riesling,Napa Valley,2.28,Medium,24.64,3.15,237.46,12.31,2023-09-13,8.0,54.5,660.1
5,Merlot,Napa Valley,2.9,High,26.13,3.18,221.52,12.24,2023-08-11,11.2,36.3,410.4
6,Zinfandel,Mendoza,2.05,Medium,23.18,3.86,299.85,14.02,2023-09-29,6.5,68.5,426.1
7,Sauvignon Blanc,Tuscany,2.96,High,23.85,3.43,321.83,15.42,2023-08-11,10.7,50.7,520.1
8,Sauvignon Blanc,Mendoza,3.18,High,26.98,3.89,53.65,16.13,2023-08-01,11.1,32.9,200.1
9,Riesling,Tuscany,2.01,Medium,14.99,2.89,252.21,20.2,2023-09-29,7.1,55.1,344.7
10,Chardonnay,Rioja,2.07,Medium,19.79,3.48,65.55,10.85,2023-08-01,8.6,40.1,324.9
11,Merlot,Mendoza,1.3,Low,14.42,2.85,214.66,10.52,2023-09-24,7.0,62.1,350.3
12,Riesling,Mendoza,3.12,High,29.75,2.89,136.29,15.88,2023-08-16,10.2,62.7,683.5
13,Merlot,Barossa Valley,3.22,High,28.88,4.07,142.03,20.46,2023-09-01,9.2,69.2,367.8
14,Merlot,Bordeaux,1.75,Medium,10.79,2.99,155.89,12.9,2023-09-20,9.8,50.1,314.9
15,Zinfandel,Mendoza,2.68,High,24.11,3.55,236.39,19.62,2023-09-03,7.2,48.2,502.6
16,Sauvignon Blanc,Barossa Valley,2.56,High,28.5,3.38,150.21,13.9,2023-08-13,7.3,60.1,719.4
17,Pinot Noir,Sonoma,2.0,Medium,13.61,3.29,269.81,23.29,2023-09-03,6.2,35.3,344.8
18,Zinfandel,Bordeaux,2.66,High,21.36,4.06,171.36,23.44,2023-09-11,7.9,51.9,247.1
19,Zinfandel,Rioja,2.8,High,28.31,2.83,70.51,14.46,2023-09-30,9.4,51.8,413.8
20,Merlot,Mendoza,2.06,Medium,10.68,3.73,285.13,13.45,2023-08-14,11.1,33.6,648.6
21,Syrah,Loire Valley,2.75,High,23.95,4.15,135.73,16.17,2023-08-18,10.0,46.7,530.4
22,Sauvignon Blanc,Napa Valley,2.01,Medium,15.95,3.58,179.83,13.61,2023-08-21,8.6,64.1,690.1
23,Chardonnay,Sonoma,3.58,Premium,28.49,4.11,255.63,20.09,2023-08-02,11.7,64.2,775.8
24,Zinfandel,Sonoma,3.52,Premium,29.42,2.87,149.74,22.39,2023-08-14,10.3,34.0,675.6
25,Pinot Noir,Rioja,3.71,Premium,28.89,3.39,66.98,20.1,2023-09-04,11.6,33.6,562.3
26,Syrah,Barossa Valley,2.82,High,19.48,3.16,162.18,22.37,2023-09-19,9.2,40.5,496.0
27,Syrah,Sonoma,2.62,High,27.24,3.82,333.33,15.95,2023-08-30,7.6,65.0,224.0
28,Chardonnay,Bordeaux,2.05,Medium,26.89,4.17,242.52,12.34,2023-08-20,6.3,35.2,790.6
29,Zinfandel,Mendoza,2.77,High,16.38,3.16,251.44,21.07,2023-09-04,10.4,58.8,430.1
30,Pinot Noir,Mendoza,2.42,Medium,26.58,3.72,239.68,15.41,2023-09-13,6.7,34.0,291.3
31,Sauvignon Blanc,Loire Valley,1.91,Medium,10.74,3.08,109.7,20.07,2023-08-29,7.8,54.9,600.0
32,Cabernet Sauvignon,Rioja,2.5,Medium,21.93,3.59,175.5,14.06,2023-09-04,9.2,44.2,370.6
33,Pinot Noir,Napa Valley,1.91,Medium,14.6,3.45,275.28,11.22,2023-09-17,9.4,61.6,551.5
34,Chardonnay,Barossa Valley,2.38,Medium,12.41,4.16,80.41,24.89,2023-09-05,9.6,39.3,552.1
35,Syrah,Napa Valley,1.38,Low,11.54,3.65,133.36,12.34,2023-08-08,7.0,55.6,467.4
36,Sauvignon Blanc,Sonoma,2.97,High,23.93,3.29,132.9,24.83,2023-08-06,8.3,39.4,701.7
37,Pinot Noir,Rioja,2.69,High,16.8,2.96,179.61,24.66,2023-09-16,9.7,58.5,359.0
38,Cabernet Sauvignon,Loire Valley,3.51,Premium,24.5,3.01,344.11,21.91,2023-08-20,11.8,64.9,469.2
39,Cabernet Sauvignon,Napa Valley,2.38,Medium,11.31,3.12,70.25,19.89,2023-08-28,10.4,35.1,522.6
40,Merlot,Bordeaux,2.79,High,16.31,3.15,205.61,18.67,2023-09-03,11.5,64.7,598.2
41,Merlot,Mendoza,3.09,High,20.79,3.99,103.81,22.99,2023-08-10,10.6,53.7,670.4
42,Riesling,Sonoma,2.82,High,25.81,3.59,341.2,14.34,2023-09-13,9.6,35.1,436.9
43,Chardonnay,Loire Valley,2.04,Medium,16.38,3.53,83.99,17.02,2023-09-10,7.2,47.1,587.6
44,Zinfandel,Napa Valley,2.9,High,22.52,2.96,171.08,19.29,2023-09-04,10.0,36.4,290.4
45,Pinot Noir,Barossa Valley,2.97,High,27.72,4.0,271.37,16.17,2023-08-16,9.7,58.0,759.6
46,Pinot Noir,Bordeaux,2.69,High,22.32,3.81,261.37,16.41,2023-09-28,9.6,60.4,429.8
47,Zinfandel,Bordeaux,1.94,Medium,14.66,2.89,176.82,14.95,2023-09-24,8.9,34.2,637.7
48,Riesling,Napa Valley,2.05,Medium,10.49,3.79,153.96,18.46,2023-09-18,9.2,50.2,212.2
49,Syrah,Mendoza,3.16,High,27.4,3.56,169.28,22.76,2023-09-15,8.0,62.6,323.1
50,Syrah,Napa Valley,1.6,Medium,10.43,2.91,129.28,13.02,2023-09-10,9.1,67.4,492.2
51,Riesling,Sonoma,3.03,High,27.49,3.44,111.6,24.02,2023-08-23,7.2,50.5,727.0
52,Syrah,Napa Valley,3.12,High,20.58,3.48,194.91,20.34,2023-09-27,10.8,68.0,516.4
53,Merlot,Bordeaux,2.99,High,28.78,3.03,130.56,22.35,2023-08-15,7.1,51.4,757.9
54,Pinot Noir,Loire Valley,2.44,Medium,25.98,4.12,136.24,18.34,2023-08-09,6.5,45.8,490.3
